taskType,dependencyCount,retryCount,workflowSize,previousDuration,actualDuration
DATABASE,4,0,18,26.18,43.08
COMPUTE,0,0,14,11.83,23.86
REST,2,1,18,19.64,30.76
FILE,2,1,3,12.47,17.69
REST,4,3,4,28.45,42.34
DATABASE,4,0,3,7.4,17.85
REST,1,1,8,5.54,11.57
EMAIL,1,2,4,20.05,25.13
DATABASE,2,3,18,28.25,48.28
REST,1,2,3,25.86,33.83
COMPUTE,5,3,11,20.44,44.67
REST,2,1,20,14.07,25.23
EMAIL,3,3,14,13.72,27.95
EMAIL,4,1,17,18.3,29.66
FILE,5,1,15,29.56,41.79
EMAIL,5,0,5,26.96,35.37
EMAIL,4,2,8,10.13,21.44
COMPUTE,4,2,10,13.86,36.46
EMAIL,4,1,12,29.84,42.63
DATABASE,5,2,10,9.12,29.01
EMAIL,2,2,18,8.84,20.05
DATABASE,3,0,8,10.88,22.61
FILE,0,2,9,8.01,13.29
EMAIL,3,3,16,24.08,37.54
COMPUTE,3,1,3,29.21,43.99
DATABASE,3,0,12,29.0,41.57
FILE,3,0,10,7.17,14.58
REST,3,1,11,26.02,38.76
DATABASE,5,3,11,26.13,46.66
EMAIL,2,0,8,4.34,7.85
DATABASE,4,2,13,21.35,39.15
COMPUTE,4,3,11,19.41,44.01
DATABASE,1,2,17,29.59,46.23
COMPUTE,3,1,18,3.66,24.83
REST,3,1,19,12.07,26.04
EMAIL,3,2,18,25.82,41.08
DATABASE,5,3,6,10.23,31.34
EMAIL,0,2,15,18.23,25.89
FILE,4,2,11,28.52,42.08
FILE,1,2,14,26.38,34.57
FILE,5,2,9,19.72,32.29
EMAIL,4,1,19,9.55,24.16
EMAIL,3,0,13,9.21,16.01
COMPUTE,2,3,14,1.19,21.23
EMAIL,0,3,11,12.11,23.33
EMAIL,4,2,20,14.65,29.67
FILE,3,2,19,25.96,40.4
REST,5,0,18,23.59,39.83
REST,0,3,19,1.96,15.59
FILE,1,0,15,24.84,31.86
REST,3,0,7,16.52,24.41
EMAIL,5,2,9,12.76,25.53
FILE,1,3,8,28.27,37.01
DATABASE,3,1,17,4.8,23.12
FILE,3,1,17,1.8,14.29
EMAIL,4,2,19,2.59,16.73
REST,5,2,5,14.01,27.75
EMAIL,1,3,5,15.67,23.37
FILE,2,2,15,29.78,42.11
DATABASE,3,2,6,21.95,38.0
DATABASE,1,1,7,22.72,31.9
FILE,4,0,10,10.71,20.56
FILE,4,1,3,6.23,13.67
DATABASE,0,0,20,11.48,22.7
DATABASE,1,3,3,12.14,24.92
REST,1,0,8,14.12,19.18
EMAIL,3,3,18,3.17,18.67
FILE,3,0,8,16.62,23.26
DATABASE,2,1,18,25.66,39.45
COMPUTE,4,0,20,20.45,39.78
REST,3,2,17,14.08,28.24
DATABASE,3,1,20,26.04,42.89
FILE,3,0,7,26.36,31.71
FILE,0,2,5,28.55,35.34
COMPUTE,5,2,7,21.3,42.69
COMPUTE,3,2,8,18.65,37.79
COMPUTE,1,1,14,1.37,16.55
COMPUTE,1,0,6,18.63,28.05
DATABASE,1,3,19,20.92,40.5
DATABASE,4,0,7,23.84,38.88
REST,3,1,19,24.85,37.87
DATABASE,0,2,15,25.01,40.22
COMPUTE,1,3,8,25.2,44.88
COMPUTE,2,2,15,29.27,50.11
COMPUTE,5,1,3,20.26,37.28
REST,2,1,14,16.57,26.29
DATABASE,3,2,15,23.25,41.53
FILE,4,1,16,24.33,38.47
EMAIL,2,1,11,10.16,17.55
EMAIL,2,0,4,22.91,26.93
FILE,0,3,19,5.5,19.03
FILE,5,2,9,5.85,20.89
DATABASE,2,3,17,27.59,45.34
DATABASE,4,1,5,1.66,16.24
FILE,4,2,8,5.83,18.84
DATABASE,0,1,12,7.01,16.98
EMAIL,2,0,16,11.65,21.14
REST,3,0,16,4.25,15.14
REST,5,1,8,15.99,28.3
FILE,4,3,11,26.34,41.29
FILE,5,3,17,1.26,19.17
DATABASE,2,3,13,23.76,41.35
COMPUTE,4,0,9,5.97,21.57
DATABASE,2,0,12,19.7,31.27
EMAIL,2,1,10,24.32,33.9
DATABASE,0,1,15,4.36,14.35
REST,4,1,17,6.72,21.17
COMPUTE,5,0,7,18.27,36.27
REST,4,3,4,16.55,32.77
EMAIL,0,2,15,2.18,9.7
COMPUTE,5,3,7,13.98,36.98
DATABASE,4,2,7,21.32,39.06
FILE,4,1,9,13.47,24.03
FILE,4,0,8,2.54,9.91
COMPUTE,3,3,12,28.9,51.21
DATABASE,4,2,16,12.14,30.22
REST,3,3,8,27.93,42.01
DATABASE,4,1,8,14.76,28.93
REST,3,1,3,8.45,19.54
REST,0,3,20,27.78,40.95
DATABASE,2,2,19,11.53,28.98
REST,0,3,15,26.83,38.56
EMAIL,3,3,13,29.3,45.15
EMAIL,0,2,14,12.29,18.72
FILE,5,0,12,6.76,18.44
REST,1,3,16,24.91,37.52
EMAIL,3,1,13,14.69,24.68
COMPUTE,1,1,19,11.62,29.1
REST,3,0,12,19.6,30.43
FILE,5,3,3,25.47,39.67
FILE,0,1,17,27.8,34.63
FILE,5,3,16,1.67,18.12
REST,0,1,15,24.49,32.38
COMPUTE,3,2,6,9.8,28.57
EMAIL,5,1,17,8.68,23.13
DATABASE,2,2,20,27.71,47.69
COMPUTE,4,0,3,29.81,46.55
DATABASE,1,1,6,11.92,20.32
DATABASE,4,3,15,6.74,29.54
DATABASE,1,2,10,1.8,14.72
DATABASE,2,2,5,29.51,44.26
COMPUTE,2,0,17,24.29,42.11
DATABASE,0,1,6,6.42,13.68
EMAIL,1,2,3,11.35,17.38
COMPUTE,4,0,5,7.58,24.94
REST,3,0,3,26.21,32.07
COMPUTE,1,3,19,20.78,43.61
FILE,0,2,4,8.86,12.68
DATABASE,1,0,11,6.87,16.51
DATABASE,2,1,10,4.55,17.75
FILE,0,3,12,27.09,37.1
EMAIL,0,1,12,25.47,30.71
REST,0,3,7,21.82,30.4
FILE,1,2,3,19.04,26.05
COMPUTE,4,3,4,3.34,25.48
FILE,3,1,10,19.72,29.01
REST,3,1,12,7.23,20.73
DATABASE,3,0,19,1.79,18.71
EMAIL,3,2,11,28.2,39.48
DATABASE,1,0,5,20.91,29.67
EMAIL,1,2,20,3.5,16.06
REST,4,3,10,25.64,42.2
EMAIL,2,2,11,1.48,11.54
FILE,1,2,17,29.13,39.52
REST,0,0,17,22.43,30.06
FILE,1,2,10,17.92,25.9
DATABASE,0,2,13,28.28,41.02
FILE,1,0,20,17.69,25.84
EMAIL,5,3,4,14.91,27.84
DATABASE,3,3,5,22.39,40.5
DATABASE,1,3,18,26.37,43.28
DATABASE,0,0,14,4.3,13.93
COMPUTE,5,1,4,1.76,18.78
REST,3,1,19,7.57,22.64
FILE,0,1,7,3.9,9.57
EMAIL,2,3,4,23.14,32.18
REST,5,0,5,28.31,38.96
DATABASE,0,2,16,27.59,42.15
REST,1,2,5,9.5,16.86
DATABASE,3,2,6,24.78,38.11
EMAIL,1,2,19,25.09,36.85
REST,5,0,9,23.15,36.1
REST,3,3,19,22.71,39.86
REST,5,0,9,29.7,43.17
DATABASE,1,1,15,18.82,32.27
REST,4,0,17,7.26,19.9
FILE,2,2,17,2.0,12.92
COMPUTE,3,3,9,16.71,39.41
FILE,3,3,18,19.38,33.94
EMAIL,0,0,12,11.06,15.03
EMAIL,2,2,12,15.63,25.29
COMPUTE,2,3,4,18.57,35.65
COMPUTE,2,3,19,20.98,44.88
EMAIL,2,3,20,5.44,19.85
REST,0,3,9,3.91,14.09
DATABASE,2,0,7,14.1,26.19
REST,4,1,6,7.65,21.26
DATABASE,3,2,5,13.64,29.5
COMPUTE,4,2,15,29.71,51.19
EMAIL,0,0,18,21.67,27.82
FILE,4,1,5,29.17,37.35
DATABASE,4,0,11,2.19,16.68
FILE,3,3,17,21.78,37.58
FILE,1,3,18,11.9,26.07
DATABASE,3,1,6,7.56,21.38
FILE,1,1,11,14.14,20.72
FILE,0,0,20,22.03,27.54
REST,0,1,17,28.69,38.94
COMPUTE,2,1,17,11.66,29.53
COMPUTE,4,2,6,23.11,41.42
DATABASE,5,2,17,12.81,35.78
EMAIL,4,3,16,19.04,34.48
FILE,2,0,12,8.49,16.86
DATABASE,4,3,20,21.76,46.0
COMPUTE,4,0,20,23.55,42.28
EMAIL,0,2,19,17.8,27.63
EMAIL,4,1,20,1.67,15.19
EMAIL,1,2,15,14.69,24.56
COMPUTE,5,0,14,22.22,41.66
DATABASE,0,1,3,19.57,29.2
EMAIL,4,3,13,23.44,40.14
COMPUTE,3,3,7,27.36,48.44
FILE,2,0,13,24.45,29.41
COMPUTE,3,1,17,9.77,29.1
EMAIL,5,0,4,28.85,36.75
FILE,5,2,10,17.17,32.85
EMAIL,4,0,10,21.61,31.53
REST,3,1,8,17.59,27.36
REST,2,2,7,8.14,18.1
EMAIL,4,0,16,19.95,31.25
COMPUTE,5,3,6,21.29,45.15
FILE,0,3,14,22.78,33.62
COMPUTE,3,0,20,1.91,22.31
FILE,4,2,7,25.62,36.71
FILE,0,1,17,3.24,10.12
REST,5,1,3,8.04,19.49
EMAIL,0,2,13,4.01,11.06
DATABASE,3,3,12,16.16,35.01
EMAIL,2,0,5,28.45,31.89
DATABASE,0,0,17,24.85,34.84
REST,4,0,20,22.77,38.27
FILE,1,1,15,14.95,22.66
EMAIL,4,2,20,22.98,39.13
DATABASE,0,2,16,19.63,35.11
EMAIL,3,1,4,23.37,31.87
COMPUTE,3,3,13,24.18,45.77
COMPUTE,3,1,15,28.44,48.3
COMPUTE,4,2,18,11.07,34.57
DATABASE,3,0,19,19.8,36.28
COMPUTE,1,2,14,18.58,36.1
DATABASE,3,0,19,5.88,22.12
COMPUTE,1,1,17,20.93,36.21
EMAIL,1,2,5,7.35,13.22
REST,1,3,14,2.7,17.72
COMPUTE,1,3,20,1.94,24.97
REST,3,1,5,4.77,14.69
EMAIL,4,0,17,13.87,23.65
DATABASE,5,0,10,22.57,37.94
DATABASE,0,1,14,3.46,16.51
REST,3,1,6,19.47,30.38
COMPUTE,4,3,10,25.74,50.68
COMPUTE,1,2,19,16.95,37.83
REST,4,0,15,2.37,13.56
COMPUTE,1,2,7,25.27,40.04
COMPUTE,3,3,13,11.65,33.95
REST,4,1,15,28.99,45.4
DATABASE,2,0,3,10.56,19.85
COMPUTE,5,0,6,18.6,34.75
DATABASE,1,3,20,10.08,30.48
FILE,0,3,5,20.98,30.25
FILE,2,1,14,24.58,35.02
COMPUTE,5,2,16,1.95,25.98
REST,1,1,5,16.84,22.3
EMAIL,3,3,18,10.57,26.83
FILE,3,3,15,4.35,19.51
REST,4,0,13,25.16,36.18
REST,4,3,17,14.5,32.56
REST,3,1,9,26.66,39.07
REST,3,2,18,18.38,32.56
COMPUTE,3,0,19,14.68,32.99
DATABASE,1,3,20,10.57,27.81
FILE,1,0,19,21.82,28.33
FILE,5,1,19,9.86,25.38
EMAIL,3,1,18,20.88,32.14
FILE,1,2,20,23.29,34.68
FILE,4,0,7,26.62,32.85
FILE,4,2,10,13.24,25.63
COMPUTE,3,2,11,12.9,33.36
REST,5,2,15,19.63,38.03
EMAIL,0,1,6,28.49,33.84
EMAIL,2,1,5,2.92,7.84
DATABASE,4,0,5,24.57,37.21
FILE,3,3,7,11.29,24.45
FILE,2,2,12,13.24,24.01
COMPUTE,0,0,8,23.54,35.25
DATABASE,4,1,14,27.14,43.12
DATABASE,2,2,20,19.88,38.29
COMPUTE,1,0,16,23.81,37.04
EMAIL,3,2,11,2.23,12.54
DATABASE,0,3,8,23.12,36.02
EMAIL,3,3,8,8.12,19.86
EMAIL,1,3,15,14.67,25.21
DATABASE,3,1,8,7.5,23.08
COMPUTE,0,0,12,29.49,42.4
DATABASE,5,1,11,11.26,27.55
EMAIL,2,0,16,24.27,31.2
DATABASE,2,1,14,13.43,26.07
COMPUTE,1,0,4,10.32,21.12
DATABASE,3,3,9,6.75,24.36
COMPUTE,3,1,14,2.93,20.51
REST,1,1,6,14.51,22.51
EMAIL,1,3,13,13.39,25.3
EMAIL,2,1,9,28.0,35.82
FILE,5,2,5,27.43,40.67
REST,0,2,10,12.2,20.36
DATABASE,1,1,16,17.68,29.54
COMPUTE,0,1,9,16.69,30.25
REST,3,1,6,25.12,35.35
EMAIL,2,1,5,12.0,19.88
COMPUTE,4,0,3,18.27,32.84
EMAIL,1,0,18,19.11,24.19
COMPUTE,3,0,7,15.63,29.72
EMAIL,1,2,4,23.11,31.63
FILE,4,3,16,9.14,24.46
COMPUTE,3,1,10,25.03,41.06
DATABASE,5,2,18,15.71,38.9
EMAIL,5,0,19,29.86,42.53
EMAIL,5,2,18,14.17,29.1
FILE,0,3,3,10.44,16.41
DATABASE,5,3,9,28.59,49.86
DATABASE,0,3,10,15.7,30.81
DATABASE,4,0,10,29.26,41.55
COMPUTE,5,1,20,4.51,27.24
FILE,2,2,6,16.46,24.64
EMAIL,0,0,13,16.93,22.69
FILE,2,0,9,20.05,23.97
REST,3,2,5,11.91,22.82
REST,4,2,10,9.55,24.92
REST,5,0,11,23.13,36.68
FILE,0,2,18,11.34,18.74
FILE,4,1,11,13.47,26.2
DATABASE,1,2,6,15.58,28.06
DATABASE,2,3,20,5.97,26.85
REST,1,1,8,5.59,14.14
FILE,1,1,17,28.52,36.43
REST,4,3,14,10.1,30.14
EMAIL,1,2,8,6.94,13.88
FILE,3,1,4,9.52,18.14
FILE,0,3,12,1.31,9.12
EMAIL,4,1,11,13.71,26.42
DATABASE,2,2,20,21.3,39.05
DATABASE,0,3,9,2.78,17.74
DATABASE,3,0,6,4.86,16.69
COMPUTE,2,0,8,19.87,33.11
REST,4,3,13,8.51,25.07
REST,2,3,7,5.97,20.68
EMAIL,4,3,9,5.47,20.67
COMPUTE,3,0,17,3.56,21.12
FILE,4,1,18,25.35,40.43
REST,1,0,7,7.21,13.05
REST,4,3,14,14.28,34.07
COMPUTE,2,1,17,8.37,26.63
REST,0,1,20,12.05,21.4
COMPUTE,2,2,20,8.4,31.39
DATABASE,0,2,14,19.48,33.83
COMPUTE,0,0,12,22.76,35.53
COMPUTE,3,3,10,27.1,47.63
FILE,1,3,6,7.08,14.97
COMPUTE,3,0,17,5.85,24.64
COMPUTE,0,2,7,15.67,31.26
FILE,1,2,13,2.06,13.19
DATABASE,3,2,9,23.22,38.15
DATABASE,1,0,15,15.73,26.91
COMPUTE,1,1,12,25.57,39.62
DATABASE,5,3,16,18.88,43.71
REST,2,1,9,9.89,19.01
REST,4,2,18,15.07,31.9
REST,3,1,3,18.77,27.31
FILE,4,3,3,20.06,34.09
DATABASE,4,0,12,8.46,21.37
EMAIL,2,3,16,19.83,35.55
EMAIL,1,0,8,16.69,19.02
DATABASE,5,0,8,11.2,27.68
EMAIL,4,0,8,11.33,18.09
COMPUTE,2,1,8,20.09,34.68
REST,0,3,10,2.47,11.59
DATABASE,2,2,5,23.55,35.96
DATABASE,0,3,16,27.39,42.26
FILE,5,0,14,29.0,42.68
EMAIL,5,1,11,24.51,36.61
EMAIL,3,0,17,22.93,32.39
DATABASE,1,3,20,22.56,40.44
REST,0,0,6,28.56,31.4
DATABASE,0,1,7,10.94,21.94
FILE,5,3,11,19.69,36.39
COMPUTE,4,2,6,9.1,29.18
EMAIL,2,3,18,22.96,35.38
DATABASE,1,0,5,27.79,34.74
FILE,3,3,7,29.88,42.98
REST,5,3,6,11.17,27.47
FILE,0,2,15,16.25,23.63
EMAIL,5,2,4,3.83,15.57
EMAIL,2,1,3,17.36,23.04
DATABASE,5,2,20,24.47,45.6
EMAIL,0,3,13,12.95,23.74
FILE,1,3,20,26.64,38.35
COMPUTE,1,0,9,14.26,27.32
FILE,0,2,8,17.47,24.22
DATABASE,1,2,20,24.28,41.4
EMAIL,1,1,14,29.94,37.25
EMAIL,4,2,3,4.81,13.89
COMPUTE,2,2,10,21.51,41.29
COMPUTE,0,3,17,10.72,31.2
REST,3,2,18,3.81,18.82
EMAIL,2,2,15,14.43,24.86
DATABASE,5,0,19,19.71,36.71
COMPUTE,1,1,18,14.49,31.44
REST,1,3,11,3.28,16.7
COMPUTE,5,2,19,19.17,44.55
DATABASE,3,0,15,13.03,25.61
DATABASE,4,3,4,11.48,28.29
REST,0,3,16,3.11,13.91
REST,2,3,9,17.41,31.51
DATABASE,2,0,12,26.01,35.62
EMAIL,0,1,8,1.06,7.21
FILE,3,3,17,8.82,24.76
DATABASE,4,1,3,7.61,21.45
REST,5,2,8,6.67,20.86
REST,1,1,15,24.04,33.4
REST,1,1,20,26.73,38.33
COMPUTE,3,0,5,18.17,30.92
EMAIL,1,1,9,7.65,13.46
DATABASE,2,3,7,11.37,26.97
FILE,3,3,12,9.22,23.74
EMAIL,2,3,15,22.23,34.15
EMAIL,2,0,8,1.65,7.17
DATABASE,4,1,13,29.41,46.27
EMAIL,0,2,9,5.63,11.4
DATABASE,4,1,4,3.72,18.82
EMAIL,1,1,6,25.45,32.42
DATABASE,4,0,3,21.33,34.14
DATABASE,1,3,3,9.3,22.35
REST,0,1,9,15.15,23.58
COMPUTE,5,1,17,15.84,39.64
EMAIL,1,3,12,25.19,37.41
FILE,4,3,16,15.58,32.08
DATABASE,2,1,13,6.18,19.37
FILE,5,0,8,12.17,23.51
FILE,3,0,7,28.81,33.58
DATABASE,4,3,14,28.23,48.67
COMPUTE,4,3,14,21.6,47.02
DATABASE,1,2,10,9.12,22.04
FILE,2,0,19,19.35,27.86
FILE,5,0,7,14.03,25.3
FILE,3,0,5,5.35,12.15
COMPUTE,0,3,17,13.43,33.94
DATABASE,4,3,16,4.87,28.38
DATABASE,2,2,5,3.73,15.25
FILE,2,0,8,13.14,17.39
DATABASE,3,1,3,2.37,14.5
EMAIL,2,3,11,25.86,38.09
EMAIL,0,1,19,23.29,29.35
EMAIL,5,3,17,9.57,30.13
DATABASE,3,2,20,12.42,32.5
DATABASE,1,0,15,17.59,26.75
DATABASE,1,1,13,22.52,35.63
EMAIL,5,0,4,11.57,18.61
FILE,3,2,17,25.01,38.43
REST,2,3,12,26.85,40.95
COMPUTE,0,2,15,5.63,20.81
COMPUTE,0,1,10,7.99,20.77
DATABASE,1,0,16,24.84,36.17
DATABASE,2,1,17,23.79,39.54
DATABASE,1,1,15,11.71,23.69
COMPUTE,1,0,11,17.16,30.48
DATABASE,2,0,9,27.29,37.94
REST,2,0,14,26.75,37.37
DATABASE,1,0,7,13.44,21.26
DATABASE,1,2,15,27.1,41.78
FILE,2,2,3,24.67,31.67
REST,3,1,18,15.98,29.64
REST,3,1,9,23.86,35.63
FILE,5,2,7,8.85,22.38
COMPUTE,5,1,18,17.86,41.83
FILE,2,2,6,12.08,20.72
FILE,5,0,17,24.95,38.47
FILE,2,0,11,6.16,11.11
COMPUTE,5,2,10,24.7,45.76
FILE,4,0,5,21.36,29.4
COMPUTE,1,0,4,4.88,15.55
REST,5,0,16,29.59,41.91
EMAIL,4,1,7,20.08,31.37
COMPUTE,0,2,18,24.2,43.31
EMAIL,3,0,9,20.19,26.03
DATABASE,1,3,7,9.47,24.07
REST,4,3,11,26.4,43.51
REST,2,2,14,18.67,32.04
EMAIL,0,0,20,18.31,26.23
REST,4,3,6,3.88,20.53
COMPUTE,3,0,4,28.92,43.25
DATABASE,4,3,19,1.55,24.11
REST,3,2,18,22.01,36.65
REST,1,1,14,21.43,32.34
FILE,5,2,5,27.34,38.86
DATABASE,3,3,7,13.91,32.85
FILE,2,0,17,28.7,36.44
FILE,5,2,14,6.05,22.26
EMAIL,0,1,14,5.92,12.06
FILE,3,2,17,24.81,36.52
FILE,4,2,19,10.03,24.81
FILE,0,1,15,14.69,22.31
REST,5,1,4,20.97,31.99
REST,5,2,16,1.49,19.97
COMPUTE,2,0,4,14.95,25.25
FILE,0,1,6,24.2,26.53
DATABASE,5,0,13,18.98,35.31
COMPUTE,0,3,18,28.49,46.64
DATABASE,3,1,13,26.72,43.41
EMAIL,4,1,14,11.9,24.53
COMPUTE,0,1,16,16.77,31.1
DATABASE,5,2,11,18.19,37.49
COMPUTE,1,1,17,4.68,20.11
FILE,2,0,14,22.49,27.88
COMPUTE,3,2,12,7.3,27.32
EMAIL,0,2,8,7.49,14.69
COMPUTE,5,2,20,24.1,47.66
REST,1,1,12,10.41,18.43
REST,5,2,8,8.75,23.2
COMPUTE,1,1,14,6.28,21.15
COMPUTE,3,0,3,10.24,25.21
REST,2,3,13,20.11,34.8
COMPUTE,2,1,9,23.8,40.64
REST,0,0,7,23.51,26.65
FILE,5,2,18,27.61,45.54
EMAIL,3,2,6,29.23,39.84
FILE,3,2,11,21.94,34.87
REST,5,2,5,11.2,26.29
REST,4,3,19,15.67,37.18
REST,1,0,10,22.75,27.77
FILE,2,3,5,10.09,22.53
REST,5,1,17,9.52,25.07
COMPUTE,1,3,16,10.54,30.24
EMAIL,5,1,3,20.73,30.42
EMAIL,1,3,19,27.15,39.65
DATABASE,0,0,4,17.49,23.32
EMAIL,0,3,9,10.07,18.92
EMAIL,5,3,14,14.69,33.12
DATABASE,4,1,10,19.49,34.18
DATABASE,3,0,16,3.91,19.46
REST,2,1,7,21.25,31.05
EMAIL,1,0,4,12.22,15.36
DATABASE,4,2,3,17.35,34.97
EMAIL,3,3,14,9.98,24.8
COMPUTE,0,3,10,12.44,28.74
EMAIL,4,1,14,10.91,21.38
EMAIL,0,0,12,20.53,23.05
DATABASE,5,0,13,29.1,47.01
DATABASE,4,0,13,9.92,23.49
DATABASE,5,2,15,18.19,39.9
DATABASE,5,3,18,1.6,24.04
REST,5,0,20,2.71,17.7
REST,0,3,8,6.02,17.28
REST,2,1,11,8.64,19.03
REST,2,3,9,9.82,23.38
FILE,0,1,17,20.17,26.53
FILE,5,3,16,1.15,20.8
FILE,0,1,15,26.89,35.18
REST,4,1,13,4.48,20.16
DATABASE,3,2,4,5.36,21.24
COMPUTE,2,0,17,24.52,38.87
DATABASE,3,2,12,21.18,37.99
FILE,1,1,11,3.61,11.69
REST,1,3,20,5.73,20.22
COMPUTE,4,3,19,19.62,45.54
EMAIL,0,1,12,26.1,30.59
DATABASE,4,0,11,11.66,24.42
EMAIL,0,1,18,15.13,21.91
FILE,2,0,12,15.63,21.49
EMAIL,0,2,12,27.3,33.24
COMPUTE,2,2,5,28.06,42.65
REST,4,1,9,17.18,29.57
COMPUTE,3,1,20,23.83,44.76
EMAIL,2,3,13,1.88,14.09
REST,0,3,4,27.57,36.52
FILE,1,0,6,2.75,6.81
EMAIL,4,0,15,5.12,15.92
COMPUTE,3,3,12,28.59,52.21
FILE,1,2,14,24.11,31.91
EMAIL,1,1,19,5.98,13.65
REST,2,3,8,5.06,19.58
DATABASE,2,2,14,23.1,41.19
DATABASE,5,2,12,28.9,50.01
DATABASE,4,2,10,26.51,44.45
REST,2,3,13,8.96,25.32
FILE,2,3,5,19.43,29.08
DATABASE,3,1,18,26.39,42.25
EMAIL,0,1,8,5.36,7.84
DATABASE,0,0,13,26.32,36.01
FILE,5,0,11,5.69,14.55
FILE,2,3,14,5.34,18.67
FILE,4,1,19,8.53,22.63
EMAIL,1,3,7,22.66,32.53
DATABASE,5,1,12,8.63,27.99
COMPUTE,3,3,14,4.8,29.07
REST,4,1,4,8.63,18.28
EMAIL,3,0,8,7.22,14.96
REST,5,0,19,29.07,42.93
DATABASE,1,1,19,2.13,15.85
REST,0,3,20,1.88,15.3
EMAIL,1,2,17,20.14,30.02
EMAIL,0,0,16,7.57,13.79
FILE,1,3,6,1.23,9.36
FILE,1,1,19,21.32,29.76
EMAIL,4,3,11,3.36,19.17
FILE,5,1,8,1.99,15.2
EMAIL,0,0,5,4.55,5.75
COMPUTE,3,1,17,7.96,28.94
EMAIL,1,0,6,29.53,33.3
DATABASE,2,0,4,13.29,21.64
DATABASE,3,3,8,14.78,33.27
FILE,5,2,8,24.14,36.04
COMPUTE,4,3,10,13.84,35.83
DATABASE,4,0,13,25.51,40.54
EMAIL,2,0,19,18.29,27.09
COMPUTE,5,1,3,13.35,29.88
COMPUTE,5,0,3,15.36,31.9
FILE,1,0,17,12.33,18.23
FILE,2,2,19,16.21,28.73
COMPUTE,5,3,14,15.3,42.61
EMAIL,3,2,6,18.0,28.46
COMPUTE,0,1,11,13.01,26.09
EMAIL,1,1,17,11.69,21.05
REST,3,3,17,9.92,27.21
REST,5,1,17,4.29,21.04
FILE,1,0,3,4.74,8.06
DATABASE,3,1,16,18.54,36.58
EMAIL,4,0,5,4.48,13.35
EMAIL,2,1,13,16.47,27.27
EMAIL,2,0,7,21.13,27.8
DATABASE,5,3,8,11.93,33.47
EMAIL,4,3,16,21.27,36.55
COMPUTE,3,3,20,28.72,54.98
REST,2,2,18,24.63,40.22
DATABASE,0,1,19,4.07,16.83
EMAIL,5,1,14,5.93,20.32
EMAIL,0,3,5,14.4,23.05
FILE,4,0,18,15.65,27.61
COMPUTE,3,2,4,11.67,29.06
COMPUTE,2,3,9,12.17,31.56
EMAIL,2,1,13,5.26,16.03
EMAIL,0,0,12,12.08,15.78
DATABASE,0,0,6,7.62,12.68
FILE,2,3,20,17.65,32.48
REST,4,0,18,7.82,20.7
COMPUTE,3,1,9,9.86,25.63
FILE,2,2,17,17.31,30.4
REST,5,0,14,13.34,26.86
FILE,5,1,11,13.98,28.33
COMPUTE,2,2,12,28.6,46.99
REST,0,1,8,6.81,12.05
DATABASE,2,0,10,19.6,29.53
REST,5,2,3,23.58,36.09
FILE,1,1,11,18.51,27.02
REST,3,0,19,19.97,32.82
FILE,3,3,8,4.28,17.94
REST,0,0,8,7.11,12.64
REST,3,2,4,1.59,12.69
COMPUTE,5,2,13,19.51,41.33
COMPUTE,5,2,13,3.07,28.33
FILE,5,1,11,9.46,21.53
DATABASE,0,0,14,12.79,19.99
EMAIL,3,0,19,23.31,34.85
REST,2,3,12,25.28,38.87
DATABASE,3,2,4,8.74,22.48
COMPUTE,5,3,4,16.69,40.61
REST,2,2,20,25.94,42.46
DATABASE,2,0,20,29.21,44.0
FILE,4,1,8,4.01,14.31
EMAIL,0,3,18,11.11,22.27
EMAIL,3,3,10,18.57,31.65
COMPUTE,4,1,11,5.8,25.97
COMPUTE,1,0,17,26.22,41.99
EMAIL,2,3,9,1.92,13.55
REST,4,0,16,6.11,18.74
FILE,2,0,4,17.76,20.6
DATABASE,1,3,7,28.51,42.74
REST,0,0,7,14.33,20.29
EMAIL,5,3,16,29.75,46.83
COMPUTE,1,0,20,20.92,37.33
REST,0,0,16,17.75,22.97
COMPUTE,4,0,11,14.64,32.13
REST,5,1,4,20.08,33.92
DATABASE,3,3,16,10.51,28.95
COMPUTE,4,2,14,3.21,27.36
EMAIL,0,3,8,15.01,23.57
REST,5,1,11,28.55,42.24
DATABASE,0,3,7,9.34,23.54
REST,0,3,19,2.89,18.27
EMAIL,4,3,14,20.98,35.24
COMPUTE,5,1,17,1.45,23.97
EMAIL,3,2,7,8.83,20.07
REST,0,3,15,11.84,23.39
EMAIL,3,3,5,29.81,41.02
REST,3,3,6,26.19,41.2
FILE,2,3,15,19.78,33.91
EMAIL,5,1,8,26.22,40.0
DATABASE,0,3,8,18.18,33.58
EMAIL,0,1,9,14.69,17.59
COMPUTE,3,3,10,19.17,39.15
COMPUTE,5,0,8,7.48,25.66
COMPUTE,3,0,3,23.21,37.98
EMAIL,1,0,11,22.16,26.07
COMPUTE,4,2,7,21.79,43.85
EMAIL,1,2,11,1.32,10.01
EMAIL,5,2,10,14.58,29.7
EMAIL,5,0,3,29.3,39.58
DATABASE,2,3,4,26.06,40.99
DATABASE,3,3,4,23.52,38.25
DATABASE,4,3,20,10.71,32.06
EMAIL,5,2,19,29.41,46.36
EMAIL,3,0,3,8.3,12.31
DATABASE,5,1,15,17.57,35.39
REST,2,0,8,19.74,26.56
EMAIL,5,1,13,22.48,35.87
FILE,2,1,19,21.8,31.41
EMAIL,4,0,8,21.01,29.02
